Date,US Dollars Per Metric Ton,Metric Tons,Hectares,Thousand US Dollars PPP = 2004â€“2006,Hectograms Per Hectare
2018,7193.7,43710,2570,36935.880068,170078
2017,7290.6,43529,2482,35406.320854,175379
2016,6201.1,21983,2121,34459.172956,103645
2015,5139.9,16724,1847,32360.873104,90547
2014,5586.1,14307,1485,27683.987772,96343
2013,5041.6,11700,1400,22639.4532,83571
2012,5474.2,12931,1444,25021.433276,89550
2011,6123.1,9552,1047,18483.081792,91232
2010,6353.9,9226,1025,17852.273096,90010
2009,5855.4,12000,1098,23219.952,109290
2008,6936.2,12000,2200,23219.952,54545
2007,5108.6,10000,2000,19349.96,50000
2006,3528.2,7500,1360,14512.47,55147
2005,2508.0,7000,1400,13544.972,50000
2004,3621.1,6000,1200,11609.976,50000
2003,4740.2,5017,1098,10164.524195,45692
2002,3047.4,4500,1125,8707.482,40000
2001,2689.1,3200,800,6191.9872,40000
2000,3322.3,2500,625,4837.49,40000
1999,2881.4,2000,500,3869.992,40000
1998,1673.4,1200,300,2321.9952,40000
1997,1713.2,1197,328,986.46431,36494
1996,1875.1,2241,659,610.007253,34006
1995,1860.6,2561,768,237.862944,33346
1994,1679.6,2561,833,219.846446,30744
1993,1394.8,2561,893,219.846446,28679
1992,1655.6,2561,899,219.846446,28487
1991,1617.8,2561,902,219.846446,28392
2018,939.9,35150,4900,64214.182601,71735
2017,907.0,34160,5000,62855.28397,68320
2016,1054.7,31920,4600,61765.07232,69391
2015,1028.3,30360,5000,58746.47856,60720
2014,1089.5,30800,4900,59597.8768,62857
2013,1464.4,29510,5100,57101.73196,57863
2012,1779.5,30300,5000,58630.3788,60600
2011,1690.5,28100,5100,54373.3876,55098
2010,1353.5,25700,5100,49729.3972,50392
2009,1199.7,24700,5000,47794.4012,49400
2008,1496.0,24200,5000,46826.9032,48400
2007,1202.2,22650,5100,43827.6594,44412
2006,684.4,25610,5100,49555.24756,50216
2005,546.6,20500,2500,39667.418,82000
2004,553.7,25300,5000,48955.3988,50600
2003,810.1,19700,5000,38119.4212,39400
2002,487.6,18100,5000,35023.4276,36200
2001,299.3,19137,5000,37030.018452,38274
2000,278.7,19723,5100,38163.926108,38673
1999,242.8,13786,5200,26675.854856,26512
1998,357.2,18652,5200,36091.545392,35869
1997,433.5,6986,3000,13517.882056,23287
2018,785.2,115610,29610,244300.88255,39044
2017,1187.5,104482,29317,237678.543167,35639
2016,1351.1,129063,29282,249736.388748,44076
2015,2102.4,79895,27375,154596.50542,29185
2014,1514.3,125859,28272,243536.661564,44517
2013,1619.3,121040,28823,234211.91584,41994
2012,897.6,127055,28423,245850.91678,44701
2011,889.0,117995,27063,228319.85302,43600
2010,1252.6,92864,29556,179691.468544,31420
2009,1066.0,81778,20223,158240.102888,40438
2008,1734.6,81552,19971,157802.793792,40835
2007,1594.0,56391,20604,109116.359436,27369
2006,794.0,52539,17025,101662.754844,30860
2005,705.0,65482,17763,126707.408072,36864
2004,446.7,56835,14169,109975.49766,40112
2003,916.4,42941,13253,83090.663236,32401
2002,810.5,44874,13417,86831.010504,33446
2001,558.9,44818,12916,86722.650728,34700
2000,649.8,39727,12587,76871.586092,31562
1999,499.4,43195,12609,83582.15222,34257
1998,826.7,44845,12775,86774.89562,35104
1997,369.3,40347,12676,78071.283612,31829
1996,491.1,35760,12470,69195.45696,28677
1995,1424.3,40420,12140,78212.53832,33295
1994,1612.5,30228,10320,58491.059088,29291
1993,817.6,32457,9977,62804.165172,32532
1992,694.2,28148,10171,54466.267408,27675
1991,230.7,31650,11006,61242.6234,28757
2018,1577.5,130187,7151,218661.449084,182054
2017,1976.8,120184,6390,203455.150377,188081
2016,1860.1,112661,6208,217999.493804,181477
2015,2376.0,65388,3673,126525.092749,178023
2014,2962.0,35627,2342,68938.97324,152122
2013,2749.7,30411,1960,58845.163356,155158
2012,3047.8,17009,1170,32912.346964,145376
2011,2798.4,21468,1325,41540.494128,162023
2010,3653.8,14343,894,27753.647628,160436
2009,3221.4,13559,851,26236.610764,159330
2008,2414.4,14726,882,28494.751096,166961
2007,2490.2,11477,775,22207.949092,148090
2006,2873.1,9351,586,18094.147596,159573
2005,2786.6,5044,428,9760.119824,117850
2004,7046.7,3045,282,5892.06282,107979
2003,3660.8,2249,290,4351.806004,77552
2002,6443.9,2046,206,3959.001816,99320
2001,3368.1,1133,175,2192.350468,64743
2000,1633.2,1138,173,2202.025448,65780
1999,2718.7,1396,202,2701.254416,69109
1998,2153.4,1625,163,3144.3685,99693
1997,2980.6,1197,163,2316.190212,73436
1996,2631.8,1024,111,1981.435904,92252
1995,417.0,391,45,756.583436,86889
1994,758.5,73,15,141.254708,48667
1993,968.7,11,4,21.284956,27500
1992,670.5,12,4,23.219952,30000
1991,1009.5,3,3,5.804988,10000
2018,2694.1,10338,1985,20424.444477,52081
2017,2816.2,10743,2021,20733.270219,53157
2016,2455.7,11670,2034,20883.430299,57375
2015,2407.8,10868,2030,21706.785128,53537
2014,2287.7,12718,2190,23365.0767,58073
2013,2432.1,11281,2235,18752.046236,50474
2012,2173.9,12323,2547,21045.016496,48382
2011,2357.4,13418,2729,23748.205908,49168
2010,2358.0,11864,2392,22956.792544,49599
2009,2139.5,12672,2403,24520.269312,52734
2008,2639.9,11825,2404,22881.3277,49189
2007,1650.9,12390,2715,23974.60044,45635
2006,1834.2,11579,2747,22405.318684,42151
2005,1731.4,12975,2999,25106.5731,43264
2004,1797.1,13340,3173,25812.84664,42042
2003,1351.1,14236,3345,27546.603056,42559
2002,1276.4,14880,3363,28792.74048,44246
2001,1174.5,14583,3407,28218.046668,42803
2000,946.7,17524,3401,33908.869904,51526
1999,1390.6,17348,3405,33568.310608,50949
1998,939.7,15470,3488,29934.38812,44352
1997,1190.9,17207,3440,33295.476172,50020
1996,1759.5,13974,3492,27039.634104,40017
1995,1629.9,16139,3190,31228.900444,50592
1994,1622.7,19860,3407,38429.02056,58292
1993,1593.7,17091,3385,33071.016636,50490
1992,1381.6,16812,3414,32531.152752,49244
1991,1249.0,13160,3482,25464.54736,37794
2018,946.3,27466,3500,42581.893313,78474
2017,784.9,22671,3296,40196.309691,68783
2016,1671.8,22160,2647,42879.51136,83717
2015,1922.3,13631,1682,26375.930476,81040
2014,1987.6,10613,1415,20536.112548,75004
2013,2179.2,9075,1261,17560.0887,71967
2012,1195.6,7016,1240,13575.931936,56581
2011,1246.0,9459,1220,18303.127164,77533
2010,1549.4,7937,1114,15358.063252,71248
2009,1554.8,8487,1031,16422.311052,82318
2008,2638.6,7483,928,14479.575068,80636
2007,916.7,8032,973,15541.887872,82549
2006,885.1,6452,916,12484.594192,70437
2005,743.9,4118,704,7655.507409,58494
2004,1050.7,1700,329,3289.4932,51672
2003,692.5,1719,427,3326.258124,40258
2002,628.0,2500,590,4837.49,42373
2001,529.8,3372,745,6524.806512,45262
2000,713.2,2000,500,3869.992,40000
1999,508.8,1000,250,1934.996,40000
1998,795.6,1200,400,2321.9952,30000
2018,882.3,12756,3706,26809.835994,34420
2017,871.5,12563,3531,26077.270337,35579
2016,940.0,12562,3200,25042.874419,39256
2015,1561.6,11646,2744,25541.9472,42442
2014,1835.9,12000,2700,23219.952,44444
2013,2039.4,12000,2500,23219.952,48000
2012,2036.5,11800,2600,22832.9528,45385
2011,1013.1,11500,2600,22252.454,44231
2010,1245.9,11000,2500,21284.956,44000
2018,1569.1,7450,2100,16239.991622,35476
2017,778.0,7476,1863,15677.022385,40129
2016,2011.8,8398,1833,16250.096408,45816
2015,1965.9,6845,1522,13245.04762,44974
2014,2195.1,4569,1191,8840.996724,38363
2013,1910.3,5491,1333,10625.063036,41193
2012,1683.3,4850,1369,9384.7306,35427
2011,1492.2,7650,1634,14802.7194,46818
2010,1917.6,6109,1699,11820.890564,35956
2009,2663.0,3510,932,6791.83596,37661
2008,2778.4,3540,1034,6849.88584,34236
2007,1484.2,3711,1129,7180.770156,32870
2006,922.9,5766,1364,11157.186936,42273
2005,839.8,3897,1182,7540.679412,32970
2004,803.1,5606,1048,10847.587576,53492
2003,1101.7,4083,1109,7900.588668,36817
2002,701.0,3938,969,7620.014248,40640
2001,435.8,3147,773,6089.432412,40712
2000,871.8,3000,1000,5804.988,30000
1999,670.3,3000,1200,5804.988,25000
1998,920.9,2805,1283,5427.66378,21863
2017,4828.0,102840,8080,266269.64324,127277
2016,3263.0,117177,8017,266698.563684,146161
2015,5115.0,119295,8223,230835.34782,145075
2014,5203.0,103510,7912,200291.43596,130827
2013,4123.0,83280,7527,161146.46688,110642
2012,3792.0,76498,7042,148023.324008,108631
2011,4564.0,85516,7082,165473.117936,120751
2010,5445.0,67531,7122,130672.214876,94820
2009,6393.0,89689,7163,173547.856244,125212
2008,6614.0,67843,7284,131275.933628,93140
2007,6349.0,64659,6515,125114.906364,99246
2006,4740.0,74843,6718,144820.905628,111407
2005,4387.0,82798,6840,160213.798808,121050
2004,4608.0,71885,6515,139097.18746,110338
2003,4586.0,62051,6192,120068.436796,100212
2002,3086.0,51637,6192,99917.388452,83393
2001,3660.0,51964,6192,100550.132144,83921
2000,4189.0,48965,6212,94747.07914,78823
1999,3241.0,49011,6232,94836.088956,78644
1998,4233.0,42728,6095,82678.509088,70103
1997,3020.0,45541,6030,88121.652836,75524
1996,1702.0,32772,5241,63413.688912,62530
1995,1534.0,40374,5261,78123.528504,76742
1994,1898.0,42429,5079,82099.945284,83538
1993,1484.0,40206,4816,77798.449176,83484
1992,1179.0,41794,4856,80871.222824,86067
1991,1144.0,23000,4210,44504.908,54632
